"Country","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007"
"France",1.29904106586451,1.29713217349413,1.46846584372357,1.64984791866149,1.19709909342953,1.26278618288716,1.27521921607508,1.07360707925419,1.20195073056879,1.42014907424455
"French Guiana",2.80644510309581,3.48286119426946,3.72467955261976,3.97967479268563,3.29322071846707,3.53594242273353,3.26391535652395,3.10145719596707,3.5787184935479,3.54861952942216
"French Polynesia",0.0653495569484127,0.0650507962242064,0.0692461045099206,0.0637484060099206,0.0588235584126984,0.0557429757638889,0.057101056109127,0.0523544006587302,0.056634580359127,0.0571287514484127
"Gabon",1.87540163551471,1.49545644820053,1.44775377102139,1.97923938794786,2.32592585848396,1.78150756158289,1.60277661241578,1.74945959399198,1.88664629384358,1.89451745031283
"Gambia",4.66522539737097,7.10771535667742,8.12507690327419,6.14302854462903,3.97531365667742,5.41068541874194,5.88506716951613,5.77495951209677,7.37231409269355,4.63114695425806
"Georgia",1.29461233325984,1.23342842528346,1.17511442902362,1.38892431037008,1.0241971007874,0.944333685937008,0.947301197027559,0.897605183188976,1.05359418419291,1.08468584705512
"Germany",4.91506583618182,5.90860126525947,5.60121639622917,5.75942355292235,5.39304338211932,5.03348364921591,5.37482713460417,5.24892582369697,6.18889731391856,7.26275592743561
"Ghana",0.573594735969125,0.687591941653516,0.785656630982847,0.704743164790738,0.582443778632933,0.836712031493997,0.671861104473413,0.790399910943396,0.669446945006861,0.555062371288165
"Glorioso Islands",0.130466907573066,0.135431279051576,0.170148523507163,0.157425440025788,0.170591994888252,0.157424514931232,0.141812990186246,0.144149042048711,0.158442439071633,0.136373226510029
"Greece",0.179652141105263,0.175211661417665,0.168836400629234,0.144197421664409,0.155218726168317,0.170741733990099,0.163536396608911,0.161353152954143,0.190004511846535,0.167402788525534
"Greenland",1.00556618446482,1.03151131184798,1.04377450288357,1.02287614335272,1.06506088813518,1.03140199267379,0.977610046315323,0.845463172853024,1.13328250679819,1.16524312765857
"Grenada",0.751154648290984,0.628844612372951,0.906131016557377,0.524206234786885,0.677788302110656,0.742139598569672,0.658801846008197,0.565987374860656,0.817175256122951,0.741851085286885
"Guadeloupe and Martinique",0.14314028542065,0.150920007388145,0.158577546265774,0.15770888657935,0.155466090040153,0.182012071887189,0.155533829216061,0.135514551424474,0.152746464391969,0.178347808948375
"Guatemala",0.437684251382838,0.515977673323432,0.715897022270627,0.605356806564356,0.6900406199967,0.552968855848185,0.728290662244224,0.645579561247525,0.600367197557756,0.681909360828383
"Guernsey",1.36438260964336,1.26619689682517,1.40366797166434,1.30470164323776,1.32389351771329,2.24079449661538,1.40253026537762,1.22808922992308,1.39480509925175,1.17779013988112
"Guinea",2.4868675150456,2.44375292167427,3.11893846930619,2.60769282841042,2.47354134508469,2.47081777890879,2.19888256361238,2.44167866235505,2.75528602469055,2.23628297754397
"Guinea Bissau",4.531865953075,4.78653554118333,4.8370727500125,4.31266699574583,4.26263992915417,4.7038617739,4.3529415401875,4.34053830343333,4.8705208924,4.236477158125
"Guyana",3.07430434682561,3.76484309359382,3.3947010795011,3.10358245796909,2.74577655142605,3.03153623697792,2.95976245613907,3.0877226306468,3.26802858582781,3.58999452094702
"Haiti",0.121127479247191,0.107610150081149,0.108097933456929,0.107500797362047,0.104964974076155,0.10072509366417,0.100364095132335,0.107084918775281,0.103740441046192,0.109356923751561
"Hawaii",0.0835137429277294,0.0836527733726294,0.0817549687826755,0.0813153265556125,0.0809094780650948,0.0772104542890825,0.0773971237816504,0.0767113374008201,0.079477258586366,0.0786394532906202
"Heard and McDonald Islands",0.272561795912351,0.320031977613546,0.322379028501992,0.304939274496016,0.302859883189243,0.285696259033865,0.294495734025896,0.272319866260956,0.272722078280876,0.289992005910359
